Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strains],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,Position
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos101],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos101.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos101
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos102],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos102.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos102
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos103],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos103.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos103
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos104],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos104.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos104
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos105],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos105.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos105
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos106],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos106.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos106
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos107],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos107.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos107
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos108],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos108.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos108
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos109],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos109.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos109
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos110],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos110.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos110
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos111],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos111.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos111
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos112],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos112.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos112
