Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strains]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File	Position
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos101.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos101
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos102.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos102
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos103.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos103
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos104.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos104
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos105.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos105
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos106.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos106
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos107.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos107
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos108.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos108
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos109.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos109
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos110.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos110
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos111.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos111
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos112.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos112
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos113.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos113
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos114.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos114
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos115.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos115
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos116.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos116
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos117.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos117
